 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=132.74.28.211,nw_dst=10.0.0.1,tp_src=28336,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=51.2.33.241,nw_dst=10.0.0.1,tp_src=28337,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.427s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=69.121.24.212,nw_dst=10.0.0.1,tp_src=28338,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=50.93.84.37,nw_dst=10.0.0.1,tp_src=28339,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=59.82.124.237,nw_dst=10.0.0.1,tp_src=28340,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=119.89.75.157,nw_dst=10.0.0.1,tp_src=28341,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=87.173.91.50,nw_dst=10.0.0.1,tp_src=28342,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=233.79.26.221,nw_dst=10.0.0.1,tp_src=28344,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=178.229.93.102,nw_dst=10.0.0.1,tp_src=28343,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.404s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=208.17.9.47,nw_dst=10.0.0.1,tp_src=28345,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.383s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=100.168.17.60,nw_dst=10.0.0.1,tp_src=28362,tp_dst=0 actions=output:1
